date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:48	291/291	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Dec%202016%2005:04:29%20GMT	http://www.pontamedia.com/robots.txt		(from )
10:31:49	73509/73509	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202016%2005:04:29%20GMT	http://www.pontamedia.com/en/	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/index.html	(from )
10:31:49	292/292	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Dec%202016%2005:04:30%20GMT	http://www.pontamedia.com/en/favicon.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/favicon.png	(from http://www.pontamedia.com/en/)
10:31:49	5430/5430	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221536-53b8994a87a24%22	http://www.pontamedia.com/en/favicon.ico	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/favicon.ico	(from http://www.pontamedia.com/en/)
10:31:50	121260/121260	---M-Z	200	added ('OK')	text/css	etag:%221d9ac-53b8994a87a24-gzip%22	http://www.pontamedia.com/en/css/bootstrap.min.css	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/css/bootstrap.min.css	(from http://www.pontamedia.com/en/)
10:31:50	76448/76448	---M-Z	200	added ('OK')	text/css	etag:%2212aa0-53b8994a87a24-gzip%22	http://www.pontamedia.com/en/css/styles.css	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/css/styles.css	(from http://www.pontamedia.com/en/)
10:31:50	48050/48050	---M-Z	200	added ('OK')	text/css	etag:%22bbb2-53b8994a78fc4-gzip%22	http://www.pontamedia.com/en/assets/brands/sprites/sprite.css	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/brands/sprites/sprite.css	(from http://www.pontamedia.com/en/)
10:31:52	36868/36868	---M-Z	200	added ('OK')	application/javascript	etag:%229004-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/bootstrap.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/bootstrap.min.js	(from http://www.pontamedia.com/en/)
10:31:53	24911/24911	---M-Z	200	added ('OK')	application/javascript	etag:%22614f-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/jquery-ui.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/jquery-ui.min.js	(from http://www.pontamedia.com/en/)
10:31:53	95957/95957	---M-Z	200	added ('OK')	application/javascript	etag:%22176d5-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/jquery-1.11.3.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/jquery-1.11.3.min.js	(from http://www.pontamedia.com/en/)
10:31:53	37266/37266	---M-Z	200	added ('OK')	application/javascript	etag:%229192-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/functions.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/functions.js	(from http://www.pontamedia.com/en/)
10:31:55	17294/17294	---M-Z	200	added ('OK')	application/javascript	etag:%22438e-53b8994a87a24-gzip%22	http://www.pontamedia.com/en/js/ScrollMagic.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/ScrollMagic.min.js	(from http://www.pontamedia.com/en/)
10:31:55	101655/101655	---M-Z	200	added ('OK')	application/javascript	etag:%2218d17-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/TweenMax.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/TweenMax.min.js	(from http://www.pontamedia.com/en/)
10:31:55	11907/11907	---M-Z	200	added ('OK')	application/javascript	etag:%222e83-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/animation.gsap.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/animation.gsap.js	(from http://www.pontamedia.com/en/)
10:31:55	3064/3064	---M-Z	200	added ('OK')	application/javascript	etag:%22bf8-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/jquery.bootstrap-autohidingnavbar.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/jquery.bootstrap-autohidingnavbar.min.js	(from http://www.pontamedia.com/en/)
10:31:56	820/820	---M-Z	200	added ('OK')	application/javascript	etag:%22334-541701adeca30-gzip%22	http://www.pontamedia.com/en/js/preloader.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/preloader.js	(from http://www.pontamedia.com/en/)
10:31:56	2611/2611	---M-Z	200	added ('OK')	application/javascript	etag:%22a33-53b8994a889c4-gzip%22	http://www.pontamedia.com/en/js/stretchy.min.js	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/js/stretchy.min.js	(from http://www.pontamedia.com/en/)
10:31:56	13777/13777	---M--	200	added ('OK')	image/svg+xml	etag:%2235d1-53b8994a85ae4%22	http://www.pontamedia.com/en/assets/logo.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/logo.svg	(from http://www.pontamedia.com/en/)
10:31:57	13777/13777	---M--	200	added ('OK')	image/svg+xml	etag:%2235d1-53b8994a85ae4%22	http://www.pontamedia.com/en/assets/logo-white.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/logo-white.svg	(from http://www.pontamedia.com/en/)
10:31:57	38731/38731	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202016%2005:04:38%20GMT	http://www.pontamedia.com/en/brandCaptcha	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/brandCaptcha.html	(from http://www.pontamedia.com/en/)
10:31:58	3117/3117	---M--	200	added ('OK')	image/svg+xml	etag:%22c2d-53b8994a84b44%22	http://www.pontamedia.com/en/assets/iso-brand.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/iso-brand.svg	(from http://www.pontamedia.com/en/)
10:31:58	525/525	---M--	200	added ('OK')	image/png	etag:%2220d-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_ar_header.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_ar_header.png	(from http://www.pontamedia.com/en/)
10:31:58	725/725	---M--	200	added ('OK')	image/png	etag:%222d5-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_mx_header.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_mx_header.png	(from http://www.pontamedia.com/en/)
10:31:59	1368/1368	---M--	200	added ('OK')	image/png	etag:%22558-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_br_header.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_br_header.png	(from http://www.pontamedia.com/en/)
10:31:59	460/460	---M--	200	added ('OK')	image/png	etag:%221cc-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_pr_header.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_pr_header.png	(from http://www.pontamedia.com/en/)
10:31:59	625/625	---M--	200	added ('OK')	image/png	etag:%22271-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_au_header.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_au_header.png	(from http://www.pontamedia.com/en/)
10:32:00	26598/26598	---M-Z	200	added ('OK')	text/html	date:Fri,%2023%20Dec%202016%2005:04:41%20GMT	http://www.pontamedia.com/en/signup	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/signup.html	(from http://www.pontamedia.com/en/)
10:32:00	925/925	---M--	200	added ('OK')	image/png	etag:%2239d-53b8994a87a24%22	http://www.pontamedia.com/en/assets/white.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/white.png	(from http://www.pontamedia.com/en/)
10:32:02	14583/14583	---M--	200	added ('OK')	image/svg+xml	etag:%2238f7-53b8994a75144%22	http://www.pontamedia.com/en/assets/brandcaptcha.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/brandcaptcha.svg	(from http://www.pontamedia.com/en/)
10:32:02	14583/14583	---M--	200	added ('OK')	image/svg+xml	etag:%2238f7-53b8994a741a4%22	http://www.pontamedia.com/en/assets/brandcaptcha-white.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/brandcaptcha-white.svg	(from http://www.pontamedia.com/en/)
10:32:07	263445/263445	---M--	200	added ('OK')	image/svg+xml	etag:%2240515-53b8994a81c64%22	http://www.pontamedia.com/en/assets/captcha1.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/captcha1.svg	(from http://www.pontamedia.com/en/)
10:32:08	4159/4159	---M--	200	added ('OK')	image/svg+xml	etag:%22103f-53b8994a84b44%22	http://www.pontamedia.com/en/assets/insight.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/insight.svg	(from http://www.pontamedia.com/en/)
10:32:08	4257/4257	---M--	200	added ('OK')	image/svg+xml	etag:%2210a1-53b8994a84b44%22	http://www.pontamedia.com/en/assets/insight-white.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/insight-white.svg	(from http://www.pontamedia.com/en/)
10:32:09	3154/3154	---M--	200	added ('OK')	image/svg+xml	etag:%22c52-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/educaptcha.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/educaptcha.svg	(from http://www.pontamedia.com/en/)
10:32:10	3151/3151	---M--	200	added ('OK')	image/svg+xml	etag:%22c4f-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/educaptcha-white.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/educaptcha-white.svg	(from http://www.pontamedia.com/en/)
10:32:10	5412/5412	---M--	200	added ('OK')	image/svg+xml	etag:%221524-53b8994a85ae4%22	http://www.pontamedia.com/en/assets/pc.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/pc.svg	(from http://www.pontamedia.com/en/)
10:32:11	3316/3316	---M--	200	added ('OK')	image/svg+xml	etag:%22cf4-53b8994a82c04%22	http://www.pontamedia.com/en/assets/cloud1.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/cloud1.svg	(from http://www.pontamedia.com/en/)
10:32:11	2864/2864	---M--	200	added ('OK')	image/svg+xml	etag:%22b30-53b8994a82c04%22	http://www.pontamedia.com/en/assets/cloud2.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/cloud2.svg	(from http://www.pontamedia.com/en/)
10:32:12	2707/2707	---M--	200	added ('OK')	image/svg+xml	etag:%22a93-53b8994a82c04%22	http://www.pontamedia.com/en/assets/cloud3.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/cloud3.svg	(from http://www.pontamedia.com/en/)
10:32:12	14929/14929	---M--	200	added ('OK')	image/svg+xml	etag:%223a51-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/globo.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/globo.svg	(from http://www.pontamedia.com/en/)
10:32:13	14928/14928	---M--	200	added ('OK')	image/svg+xml	etag:%223a50-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/globo2.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/globo2.svg	(from http://www.pontamedia.com/en/)
10:32:13	11196/11196	---M--	200	added ('OK')	image/svg+xml	etag:%222bbc-53b8994a72264%22	http://www.pontamedia.com/en/assets/benefit1.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/benefit1.svg	(from http://www.pontamedia.com/en/)
10:32:14	3986/3986	---M--	200	added ('OK')	image/svg+xml	etag:%22f92-53b8994a72264%22	http://www.pontamedia.com/en/assets/benefit2.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/benefit2.svg	(from http://www.pontamedia.com/en/)
10:32:14	29130/29130	---M--	200	added ('OK')	image/png	etag:%2271ca-53b8994a81c64%22	http://www.pontamedia.com/en/assets/captcha3.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/captcha3.png	(from http://www.pontamedia.com/en/)
10:32:14	5008/5008	---M--	200	added ('OK')	image/svg+xml	etag:%221390-53b8994a72264%22	http://www.pontamedia.com/en/assets/benefit3.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/benefit3.svg	(from http://www.pontamedia.com/en/)
10:32:14	6905/6905	---M--	200	added ('OK')	image/svg+xml	etag:%221af9-53b8994a72264%22	http://www.pontamedia.com/en/assets/benefit4.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/benefit4.svg	(from http://www.pontamedia.com/en/)
10:32:15	3385/3385	---M--	200	added ('OK')	image/svg+xml	etag:%22d39-53b8994a72264%22	http://www.pontamedia.com/en/assets/benefit5.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/benefit5.svg	(from http://www.pontamedia.com/en/)
10:32:16	20678/20678	---M--	200	added ('OK')	image/svg+xml	etag:%2250c6-53b8994a72264%22	http://www.pontamedia.com/en/assets/avion.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/avion.svg	(from http://www.pontamedia.com/en/)
10:32:17	3764/3764	---M--	200	added ('OK')	image/svg+xml	etag:%22eb4-53b8994a81c64%22	http://www.pontamedia.com/en/assets/city-clouds.svg	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/city-clouds.svg	(from http://www.pontamedia.com/en/)
10:32:18	308/308	---M--	200	added ('OK')	image/png	etag:%22134-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_ar.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_ar.png	(from http://www.pontamedia.com/en/)
10:32:18	336/336	---M--	200	added ('OK')	image/png	etag:%22150-53b8994a83ba4%22	http://www.pontamedia.com/en/assets/flag_mx.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/flag_mx.png	(from http://www.pontamedia.com/en/)
10:32:18	52722/52722	---M--	200	added ('OK')	image/png	etag:%22cdf2-53b8994a81c64%22	http://www.pontamedia.com/en/assets/captcha4.png	D:/Templates/pontamedia.com_en/www.pontamedia.com/en/assets/captcha4.png	(from http://www.pontamedia.com/en/)
